date,disease,state,district,taluk,latitude,longitude,outbreak_label,predicted_outbreak,outbreak_probability,outbreak_intensity,weight
2024-11-18,acute_diarrheal_disease,Kerala,Ernakulam,Kothamangalam,10.0667,76.6333,1,1,0.6019528399319272,0.0001948318614354,0.0001948318614354
2022-10-16,acute_diarrheal_disease,Kerala,Ernakulam,Kunnathunad,10.1167,76.4833,0,0,0.4163331689893136,0.0,0.0
2023-08-08,acute_diarrheal_disease,Kerala,Ernakulam,Kunnathunad,10.1167,76.4833,1,1,0.7066284072592528,4.031199542819508e-05,4.031199542819508e-05
2020-11-24,acute_diarrheal_disease,Kerala,Ernakulam,Muvattupuzha,9.9833,76.5833,1,0,0.2721255228687654,0.0,0.0
2021-11-23,acute_diarrheal_disease,Kerala,Ernakulam,Muvattupuzha,9.9833,76.5833,1,1,0.7174693644257703,0.003680019503577,0.003680019503577
2022-01-04,acute_diarrheal_disease,Kerala,Ernakulam,Muvattupuzha,9.9833,76.5833,0,1,0.7047277600719769,0.0,0.0
2022-10-18,acute_diarrheal_disease,Kerala,Ernakulam,Muvattupuzha,9.9833,76.5833,1,1,0.7623960225564459,0.0,0.0
2024-02-05,acute_diarrheal_disease,Kerala,Ernakulam,Muvattupuzha,9.9833,76.5833,0,1,0.7230324788260354,0.0214419164250777,0.0214419164250777
2020-09-12,acute_diarrheal_disease,Kerala,Ernakulam,North Paravur,10.1333,76.2,1,1,0.6973906308953548,0.0,0.0
2020-12-27,acute_diarrheal_disease,Kerala,Ernakulam,North Paravur,10.1333,76.2,0,1,0.6792223601460128,0.0601628878707755,0.0601628878707755
2021-10-15,acute_diarrheal_disease,Kerala,Ernakulam,North Paravur,10.1333,76.2,1,1,0.6693978660431705,0.0,0.0
2021-11-23,acute_diarrheal_disease,Kerala,Ernakulam,North Paravur,10.1333,76.2,1,1,0.7105084887271209,0.0504143545609719,0.0504143545609719
2021-11-24,acute_diarrheal_disease,Kerala,Ernakulam,North Paravur,10.1333,76.2,0,1,0.761801580199546,0.0442478138968194,0.0442478138968194
2022-01-04,acute_diarrheal_disease,Kerala,Ernakulam,North Paravur,10.1333,76.2,0,0,0.2585077172117586,0.0,0.0
2023-11-21,acute_diarrheal_disease,Kerala,Ernakulam,North Paravur,10.1333,76.2,0,1,0.6929034315714111,0.0017468531352217,0.0017468531352217
2020-01-02,acute_diarrheal_disease,Kerala,Idukki,Devikulam,10.0667,77.1,0,0,0.354425105475515,0.0,0.0
2020-12-25,acute_diarrheal_disease,Kerala,Idukki,Devikulam,10.0667,77.1,0,0,0.2580293396917713,0.0,0.0
2020-12-27,acute_diarrheal_disease,Kerala,Idukki,Devikulam,10.0667,77.1,0,0,0.067820427486067,0.0,0.0
2020-12-27,acute_diarrheal_disease,Kerala,Idukki,Devikulam,10.0667,77.1,0,0,0.2430634485620355,4.031199542819508e-05,4.031199542819508e-05
2020-12-28,acute_diarrheal_disease,Kerala,Idukki,Devikulam,10.0667,77.1,1,1,0.7124697409977289,0.0009168109918226,0.0009168109918226
2020-12-29,acute_diarrheal_disease,Kerala,Idukki,Devikulam,10.0667,77.1,0,0,0.325138175336425,0.0267910643544572,0.0267910643544572
2021-01-02,acute_diarrheal_disease,Kerala,Idukki,Devikulam,10.0667,77.1,0,0,0.386446253855054,0.0,0.0
2022-07-06,acute_diarrheal_disease,Kerala,Idukki,Devikulam,10.0667,77.1,0,1,0.7291122947089568,0.0024974736457191,0.0024974736457191
2022-12-30,acute_diarrheal_disease,Kerala,Idukki,Devikulam,10.0667,77.1,0,0,0.0595390135074202,0.0,0.0
2021-11-20,acute_diarrheal_disease,Kerala,Idukki,Idukki,9.8497872,76.9797914,0,0,0.1144895357017222,0.0,0.0
2023-01-04,acute_diarrheal_disease,Kerala,Idukki,Idukki,9.8497872,76.9797914,0,1,0.701016796468928,0.0,0.0
2024-01-04,acute_diarrheal_disease,Kerala,Idukki,Idukki,9.8497872,76.9797914,0,1,0.5407316728051682,0.0024187197256917,0.0024187197256917
2020-11-23,acute_diarrheal_disease,Kerala,Idukki,Peerumade,9.5667,76.9667,1,0,0.4240007797889402,0.0,0.0
2021-01-01,acute_diarrheal_disease,Kerala,Idukki,Peerumade,9.5667,76.9667,0,0,0.3146204729439045,0.0048932553396266,0.0048932553396266
2021-12-25,acute_diarrheal_disease,Kerala,Idukki,Peerumade,9.5667,76.9667,0,1,0.7209095569483205,0.0,0.0
2022-01-03,acute_diarrheal_disease,Kerala,Idukki,Peerumade,9.5667,76.9667,1,0,0.0953660737275074,0.0,0.0
2022-10-17,acute_diarrheal_disease,Kerala,Idukki,Peerumade,9.5667,76.9667,0,0,0.0675875819448961,0.0044133327974964,0.0044133327974964
2023-08-08,acute_diarrheal_disease,Kerala,Idukki,Peerumade,9.5667,76.9667,1,0,0.1562792358315231,0.0,0.0
2023-11-23,acute_diarrheal_disease,Kerala,Idukki,Peerumade,9.5667,76.9667,1,1,0.6529556700850102,0.9999999983333334,0.9999999983333334
2024-10-17,acute_diarrheal_disease,Kerala,Idukki,Peerumade,9.5667,76.9667,0,1,0.5796981292202985,0.0,0.0
2020-10-15,acute_diarrheal_disease,Kerala,Idukki,Thodupuzha,9.8955,76.7241,1,1,0.7099473830665904,0.0,0.0
2021-08-08,acute_diarrheal_disease,Kerala,Idukki,Thodupuzha,9.8955,76.7241,0,1,0.7096440421290326,0.0,0.0
2022-12-31,acute_diarrheal_disease,Kerala,Idukki,Udumbanchola,9.8333,77.1333,1,1,0.6675364852725387,0.0,0.0
2023-09-23,acute_diarrheal_disease,Kerala,Idukki,Udumbanchola,9.8333,77.1333,0,0,0.3172988580718771,0.0008289798884138,0.0008289798884138
2023-12-09,acute_diarrheal_disease,Kerala,Idukki,Udumbanchola,9.8333,77.1333,1,0,0.2439906122486429,0.0,0.0
2020-08-08,acute_diarrheal_disease,Kerala,Kannur,Iritty,11.9333,75.7,1,0,0.2813503446533933,0.0,0.0
2020-11-22,acute_diarrheal_disease,Kerala,Kannur,Iritty,11.9333,75.7,0,1,0.6949654733070451,0.002453346335718,0.002453346335718
2021-01-02,acute_diarrheal_disease,Kerala,Kannur,Iritty,11.9333,75.7,1,0,0.1385764025611086,0.0,0.0
2023-11-21,acute_diarrheal_disease,Kerala,Kannur,Iritty,11.9333,75.7,1,1,0.7075719563431712,0.9999999983333334,0.9999999983333334
2023-11-23,acute_diarrheal_disease,Kerala,Kannur,Iritty,11.9333,75.7,0,0,0.4202422824078393,0.0,0.0
2024-10-17,acute_diarrheal_disease,Kerala,Kannur,Iritty,11.9333,75.7,0,1,0.6971683509925787,0.0,0.0
2024-11-21,acute_diarrheal_disease,Kerala,Kannur,Iritty,11.9333,75.7,0,1,0.7338370220415196,4.031199542819508e-05,4.031199542819508e-05
2022-08-07,acute_diarrheal_disease,Kerala,Kannur,Kannur,11.8763836,75.3737973,1,1,0.6505871539721723,0.0,0.0
2022-08-08,acute_diarrheal_disease,Kerala,Kannur,Kannur,11.8763836,75.3737973,0,0,0.2733059338058365,0.0009916624114782,0.0009916624114782
