date,disease,state,affected_district_count,affected_taluk_count,aggregate_intensity,maximum_intensity
2020-10-18,hepatitis_b,Kerala,1,1,0.0,0.0
2020-10-18,leptospirosis_confirmed,Kerala,4,5,7.004639088459407e-05,7.004639088459407e-05
2020-10-18,leptospirosis_probable,Kerala,3,3,0.0,0.0
2020-10-18,scrub_typhus,Kerala,1,1,0.0,0.0
2020-10-18,typhoid,Kerala,1,2,0.0,0.0
2020-10-19,chicken_pox,Kerala,1,1,0.030216247917171,0.030216247917171
2020-10-19,dengue,Kerala,4,4,0.0,0.0
2020-10-19,fever_op,Kerala,2,4,0.0009674878902766,0.0009674878902766
2020-10-19,hepatitis_a_probable,Kerala,2,2,0.0035452155217937,0.0035452155217937
2020-10-19,hepatitis_b,Kerala,1,1,0.0,0.0
2020-10-19,hepatitis_c,Kerala,2,2,0.0233576923204926,0.0233576923204926
2020-10-19,leptospirosis_confirmed,Kerala,2,2,0.0,0.0
2020-10-19,leptospirosis_probable,Kerala,4,4,0.0,0.0
2020-10-19,malaria,Kerala,3,4,0.0168024103581372,0.0104769137845545
2020-10-19,measles,Kerala,1,1,0.0,0.0
2020-10-20,chicken_pox,Kerala,3,3,0.0,0.0
2020-10-20,dengue,Kerala,2,2,0.0045306489513437,0.0027363916310939
2020-10-20,fever_op,Kerala,2,3,0.0197216933357885,0.0197216933357885
2020-10-20,hepatitis_a_confirmed,Kerala,2,2,0.2130799258825372,0.2130799258825372
2020-10-20,hepatitis_a_probable,Kerala,2,2,0.8214478507110401,0.8214478507110401
2020-10-20,hepatitis_c,Kerala,2,2,0.0024791877188339,0.0024791877188339
2020-10-20,leptospirosis_confirmed,Kerala,1,1,0.0629699666762624,0.0629699666762624
2020-10-20,malaria,Kerala,3,3,0.0,0.0
2020-10-21,dengue,Kerala,4,6,0.004690102964867927,0.0046443383198488
2020-10-21,fever_op,Kerala,3,3,0.0,0.0
2020-10-21,hepatitis_a_confirmed,Kerala,1,1,0.0,0.0
2020-10-21,hepatitis_c,Kerala,1,1,0.0,0.0
2020-10-21,leptospirosis_confirmed,Kerala,1,1,0.0,0.0
2020-10-21,leptospirosis_probable,Kerala,1,1,0.2995212083706012,0.2995212083706012
2020-10-21,malaria,Kerala,6,6,0.0429593253837428,0.0403778937321462
2020-10-22,chicken_pox,Kerala,2,2,0.0,0.0
2020-10-22,dengue,Kerala,7,8,0.7321740941426012,0.7305846130158884
2020-10-22,fever_op,Kerala,1,1,0.0,0.0
2020-10-22,hepatitis_c,Kerala,2,2,0.1776831657033558,0.1776831657033558
2020-10-22,leptospirosis_probable,Kerala,3,3,0.0028913516105913,0.0024466276698133
2020-10-22,malaria,Kerala,5,5,0.693384436300067,0.693384436300067
2020-10-23,chicken_pox,Kerala,3,3,0.3600435455905637,0.3600032335951355
2020-10-23,dengue,Kerala,1,1,0.0,0.0
2020-10-23,fever_op,Kerala,2,2,7.085546782069631e-05,7.085546782069631e-05
2020-10-23,hepatitis_a_confirmed,Kerala,1,1,0.0,0.0
2020-10-23,leptospirosis_confirmed,Kerala,3,3,0.0,0.0
2020-10-23,leptospirosis_probable,Kerala,2,2,0.0,0.0
2020-10-23,malaria,Kerala,3,4,0.0,0.0
2020-10-24,chicken_pox,Kerala,2,3,0.716596844260849,0.716596844260849
2020-10-24,fever_op,Kerala,4,4,0.0010406350597242,0.0010406350597242
2020-10-24,hepatitis_a_confirmed,Kerala,4,4,0.004047478786451,0.004047478786451
2020-10-24,leptospirosis_probable,Kerala,3,3,7.329453714217285e-06,7.329453714217285e-06
2020-10-25,chicken_pox,Kerala,3,3,0.0020938690509625,0.0020938690509625
2020-10-25,fever_ip,Kerala,3,5,0.009919142098885093,0.0087307614871288
2020-10-25,fever_op,Kerala,3,3,0.0,0.0
2020-10-25,hepatitis_a_confirmed,Kerala,3,3,0.0,0.0
2020-10-25,leptospirosis_confirmed,Kerala,3,3,0.0001167439848076,0.0001167439848076
2020-10-25,leptospirosis_probable,Kerala,1,1,0.0,0.0
2020-10-26,fever_ip,Kerala,2,2,0.0121726703559243,0.0121726703559243
2020-10-26,fever_op,Kerala,1,1,0.0,0.0
2020-10-26,hepatitis_a_confirmed,Kerala,2,2,0.0004825945633811,0.0004825945633811
2020-10-26,leptospirosis_confirmed,Kerala,3,4,0.0001209359862845,0.0001209359862845
2020-10-26,leptospirosis_probable,Kerala,2,2,0.8745542519092268,0.8743930039275141
2020-10-26,shigella,Kerala,1,1,0.0,0.0
2020-10-27,fever_ip,Kerala,3,3,0.0010714978565168,0.0007615778975221
2020-10-27,hepatitis_a_confirmed,Kerala,1,2,0.0,0.0
2020-10-27,leptospirosis_confirmed,Kerala,1,1,0.0,0.0
2020-10-27,leptospirosis_probable,Kerala,3,3,0.0014241787507168,0.0008356985543185
2020-10-28,leptospirosis_confirmed,Kerala,3,4,0.0017583877491301001,0.0012850451602628
2020-10-28,leptospirosis_probable,Kerala,1,1,0.0,0.0
2020-10-30,shigella,Kerala,1,1,0.0,0.0
2020-10-31,shigella,Kerala,2,2,0.0,0.0
2020-11-08,influenza_h1n1_seasonal,Kerala,2,2,0.0,0.0
2020-11-09,influenza_h1n1_seasonal,Kerala,2,2,0.0,0.0
2020-11-11,influenza_h1n1_seasonal,Kerala,2,2,0.0,0.0
2020-11-12,influenza_h1n1_seasonal,Kerala,2,2,0.0,0.0
2020-11-13,influenza_h1n1_seasonal,Kerala,2,2,0.0,0.0
2020-11-14,influenza_h1n1_seasonal,Kerala,1,1,0.0,0.0
2020-11-15,influenza_h1n1_seasonal,Kerala,2,2,0.0,0.0
2020-11-16,influenza_h1n1_seasonal,Kerala,2,2,0.0,0.0
2020-11-17,influenza_h1n1_seasonal,Kerala,1,1,0.0003909130901562,0.0003909130901562
2020-11-19,acute_diarrheal_disease,Kerala,5,6,0.0,0.0
2020-11-19,acute_encephalitis_syndrome,Kerala,1,1,0.0,0.0
2020-11-19,hepatitis_b,Kerala,1,1,0.0006551215116454,0.0006551215116454
2020-11-19,influenza_h1n1_seasonal,Kerala,1,1,0.0,0.0
2020-11-19,scrub_typhus,Kerala,1,1,0.0,0.0
2020-11-20,acute_diarrheal_disease,Kerala,1,1,0.0,0.0
2020-11-20,cholera,Kerala,1,1,0.0,0.0
2020-11-20,hepatitis_a_probable,Kerala,1,1,0.0,0.0
2020-11-20,hepatitis_b,Kerala,3,3,0.0,0.0
2020-11-20,influenza_h1n1_seasonal,Kerala,5,5,0.0,0.0
2020-11-20,scrub_typhus,Kerala,4,5,0.0,0.0
2020-11-21,acute_diarrheal_disease,Kerala,3,3,0.2632644364240618,0.2632644364240618
2020-11-21,hepatitis_a_probable,Kerala,2,2,0.0,0.0
2020-11-21,hepatitis_b,Kerala,1,1,0.0,0.0
2020-11-21,scrub_typhus,Kerala,2,2,0.0009671525966085,0.0009671525966085
2020-11-22,acute_diarrheal_disease,Kerala,3,3,0.002453346335718,0.002453346335718
2020-11-22,acute_encephalitis_syndrome,Kerala,1,1,0.0,0.0
2020-11-22,dengue,Kerala,1,1,0.0,0.0
2020-11-22,hepatitis_a_probable,Kerala,4,5,0.0,0.0
2020-11-22,hepatitis_b,Kerala,1,1,0.0,0.0
2020-11-22,hepatitis_c,Kerala,1,1,0.0,0.0
2020-11-22,scrub_typhus,Kerala,2,2,0.0,0.0
2020-11-23,acute_diarrheal_disease,Kerala,3,3,0.0,0.0
2020-11-23,dengue,Kerala,5,5,1.0021770180395801,0.9999999983333334
2020-11-23,hepatitis_a_probable,Kerala,2,2,0.199844145264221,0.199844145264221
2020-11-23,hepatitis_b,Kerala,3,3,5.758856489742153e-05,5.758856489742153e-05
2020-11-23,measles,Kerala,1,1,0.0,0.0
2020-11-23,scrub_typhus,Kerala,1,1,0.0,0.0
2020-11-23,typhoid,Kerala,1,1,0.0,0.0
2020-11-24,acute_diarrheal_disease,Kerala,3,3,0.0,0.0
2020-11-24,acute_encephalitis_syndrome,Kerala,1,1,0.0,0.0
2020-11-24,dengue,Kerala,5,7,0.6990324184291988,0.6468194685681464
2020-11-24,hepatitis_a_probable,Kerala,1,1,0.0,0.0
2020-11-24,hepatitis_c,Kerala,1,1,0.0,0.0
2020-11-24,malaria,Kerala,2,3,0.0004919699339556,0.0004919699339556
2020-11-24,scrub_typhus,Kerala,2,3,0.0,0.0
2020-11-24,typhoid,Kerala,1,1,0.0,0.0
2020-11-25,dengue,Kerala,3,3,0.0016336831943828999,0.001200252763223
2020-11-25,fever_op,Kerala,3,3,0.0037953542708512,0.0037953542708512
2020-11-25,hepatitis_a_probable,Kerala,3,3,0.0,0.0
2020-11-25,hepatitis_b,Kerala,2,2,0.0,0.0
2020-11-25,hepatitis_c,Kerala,1,1,0.0,0.0
2020-11-25,malaria,Kerala,5,5,0.0008581838786219,0.0008581838786219
2020-11-26,chicken_pox,Kerala,4,5,1.000210013352579,0.9999999983333334
2020-11-26,dengue,Kerala,8,10,1.024159650374638,0.719259581060612
2020-11-26,fever_op,Kerala,1,1,0.0,0.0
2020-11-26,hepatitis_a_probable,Kerala,1,1,0.0,0.0
2020-11-26,hepatitis_b,Kerala,2,2,0.0,0.0
2020-11-27,dengue,Kerala,4,4,0.0001719978471602,0.0001719978471602
2020-11-27,hepatitis_a_confirmed,Kerala,4,5,0.0083847215341827,0.0083847215341827
2020-11-27,hepatitis_a_probable,Kerala,2,3,0.0045203407230618,0.0045203407230618
2020-11-27,hepatitis_b,Kerala,2,2,0.0,0.0
2020-11-27,hepatitis_c,Kerala,1,1,0.0,0.0
2020-11-27,leptospirosis_probable,Kerala,2,2,0.0,0.0
2020-11-28,chicken_pox,Kerala,4,4,0.0,0.0
2020-11-28,dengue,Kerala,2,2,1.000013435665143,0.9999999983333334
2020-11-28,fever_op,Kerala,1,1,0.0,0.0
2020-11-28,hepatitis_a_confirmed,Kerala,3,4,0.0003099199589947,0.0003099199589947
2020-11-28,hepatitis_a_probable,Kerala,1,1,0.0,0.0
