cluster_id,disease,date,state,district,taluk,latitude,longitude,outbreak_intensity
105,acute_diarrheal_disease,2022-11-24,Kerala,Pathanamthitta,Adoor,9.1667,76.7333,0.0167535435660364
106,acute_diarrheal_disease,2022-11-19,Kerala,Kozhikode,Vadakara,11.6,75.5833,0.0
106,acute_diarrheal_disease,2022-11-22,Kerala,Kozhikode,Vadakara,11.6,75.5833,0.003680019503577
107,acute_diarrheal_disease,2022-11-21,Kerala,Kasaragod,Manjeshwaram,12.7167,74.8833,0.0
108,acute_diarrheal_disease,2022-11-21,Kerala,Thrissur,Kunnamkulam,10.65,76.0667,0.0013358453044419
109,acute_diarrheal_disease,2022-11-22,Kerala,Kannur,Payyanur,12.1,75.2,0.9999999983333334
110,acute_diarrheal_disease,2022-12-25,Kerala,Thrissur,Kunnamkulam,10.65,76.0667,0.0
110,acute_diarrheal_disease,2022-12-25,Kerala,Thrissur,Chavakkad,10.5833,76.0167,0.0
111,acute_diarrheal_disease,2022-12-26,Kerala,Kannur,Taliparamba,12.0333,75.35,0.0
112,acute_diarrheal_disease,2022-12-26,Kerala,Kollam,Punalur,9.0089,76.9269,0.0022367885411461
113,acute_diarrheal_disease,2022-12-27,Kerala,Kasaragod,Vellarikundu,12.4167,75.2333,0.0
113,acute_diarrheal_disease,2022-12-29,Kerala,Kasaragod,Vellarikundu,12.4167,75.2333,0.0005912425996135
114,acute_diarrheal_disease,2022-12-27,Kerala,Alappuzha,Cherthala,9.6833,76.3333,4.031199542819508e-05
114,acute_diarrheal_disease,2023-01-04,Kerala,Kottayam,Vaikom,9.75,76.4,0.0
115,acute_diarrheal_disease,2022-12-28,Kerala,Malappuram,Tirur,10.9167,75.9167,0.0
115,acute_diarrheal_disease,2022-12-29,Kerala,Malappuram,Tirur,10.9167,75.9167,4.031199542819508e-05
116,acute_diarrheal_disease,2022-12-29,Kerala,Palakkad,Palakkad,10.78789845,76.47408711,0.0
117,acute_diarrheal_disease,2022-12-30,Kerala,Wayanad,Vythiri,11.6226,76.0813,4.031199542819508e-05
117,acute_diarrheal_disease,2023-01-01,Kerala,Wayanad,Vythiri,11.6226,76.0813,0.3107088387026347
118,acute_diarrheal_disease,2022-12-30,Kerala,Pathanamthitta,Thiruvalla,9.3833,76.5833,0.0048847826127823
119,acute_diarrheal_disease,2022-12-31,Kerala,Idukki,Udumbanchola,9.8333,77.1333,0.0
119,acute_diarrheal_disease,2023-01-04,Kerala,Idukki,Idukki,9.8497872,76.9797914,0.0
120,acute_diarrheal_disease,2022-12-31,Kerala,Palakkad,Chittur,10.7,76.75,0.0
121,acute_diarrheal_disease,2023-01-01,Kerala,Ernakulam,Aluva,10.1075,76.3516,0.0
122,acute_diarrheal_disease,2023-01-02,Kerala,Kozhikode,Koyilandy,11.4333,75.7,0.0039400788763928
122,acute_diarrheal_disease,2023-01-04,Kerala,Kozhikode,Vadakara,11.6,75.5833,0.0007888485009544
